Studio,Category,Original criterion,Simplified requirement,Nestlé/WPP responsibility,Current status,Evidence,Missing requirement,Next action,Owner,Dependency,Target date
Thailand,Production Excellence,Have the Studio creatives been provided Nestlé licenses for Adobe Creative Cloud?,Adobe Creative Cloud access and production use,Nestlé,Fulfilled,Status workbook: On-Going — Not fully integrated into the production stage.,None identified in scorecard,Localization technology supports efficiency and consistency,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled; Dedicated internal or external production capability: Open,Not provided
Thailand,Production Excellence,"Is multiplicity embedded in brief requirements, and supported by Media placements?",Multiplicity embedded in briefing and content planning,Nestlé,Fulfilled,"Status workbook: On-Going — We have recently begun developing content for Multilicity, ensuring that it is tailored to the platform's needs. Internally, we will conduct training on the Multiplicity playbook and aim to establish a consistent workflow or standard operating procedures across all teams. If you have any insights, formats, work processes, or training materials, please feel free to share!",None identified in scorecard,Content is designed for re expression from the start,WPP,"Source dependency: Not provided · Rule-based prerequisites: Complete briefs with sufficient lead time and timely challenge: Fulfilled; Media, CRM and performance collaboration embedded in planning: Fulfilled",Not provided
Thailand,Category Expertise,"Has the Media, CRM and Performance Agencies been endorsed to the Content Studio for collaboration efforts?","Media, CRM and performance collaboration embedded in planning",Nestlé,Fulfilled,"Status workbook: Not Started — Collaboration has been limited in our work, and our current approach involves working separately rather than engaging in comprehensive planning and development together.",None identified in scorecard,Media and content teams are connected in planning and review,Shared,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled; Regular leadership and brand governance cadence: Open,Not provided
Thailand,Category Expertise,Are the correct briefs cascaded to the Content Studio?,Correct brief routing and redirection,Nestlé,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Open; Consistent shared workflow and approval process: Open,Not provided
Thailand,Category Expertise,Has the Studio been endorsed to AOR and NBS?,Defined collaboration with AOR and NBS,Nestlé,Partially fulfilled,Not provided,Defined collaboration with AOR and NBS,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Open,Not provided
Thailand,Category Expertise,"Has the Studio been properly onboarded on the Brand/s (including but not limited to audience/s, product/s, brand mandatories)?","Current brand, audience and category knowledge",Nestlé,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled,Not provided
Thailand,Operational Excellence & Hygiene,Is there a senior WPP Studio Lead?,Senior WPP studio leadership,WPP,Fulfilled,Status workbook: Done — MD is not 100% dedicated to the Studio. Kim Pongsakorn is studio leader,None identified in scorecard,"WPP studio lead with authority across strategy, operations, capability, and stakeholder management",WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Operational Excellence & Hygiene,Is there a WPP Creative Lead?,Dedicated WPP creative leadership,WPP,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Operational Excellence & Hygiene,"Is there a Creator, Community, or Adaptive Content Specialist?","Creator, community or adaptive-content specialist coverage",WPP,Fulfilled,"Status workbook: On-Going — TH requires a serious level of expertise to oversee this area, specifically individuals with a robust background in influencer management and strategy. Currently, we only have mid-level personnel focused solely on influencer management.",None identified in scorecard,Specialist roles only where scope demands them,WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled,Not provided
Thailand,Operational Excellence & Hygiene,Is there a WPP Production Lead?,Dedicated WPP production leadership,WPP,Not fulfilled,"Status workbook: Not Started — In TH, we currently do not have a production lead; however, we have a project manager who will assist in managing team availability and collaborating with the client service team.",Dedicated WPP production leadership,"Strong production owner managing workflow, quality, and scaling",WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Commercial documents issued to agreed timelines: Fulfilled,Not provided
Thailand,Operational Excellence & Hygiene,Are KPIs aligned and cascaded and agreed on?,Aligned and cascaded KPIs,WPP,Fulfilled,Status workbook: On-Going — KPI provided per brief,None identified in scorecard,KPIs are defined at the start and tied to content and business outcomes,"Nestlé sets business priorities, WPP translates into content metrics",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Operational Excellence & Hygiene,Is the Content Studio team built to fulfill scope?,Team capability aligned to approved scope,WPP,Fulfilled,"Status workbook: On-Going — I still have requests for some tasks that fall outside of Content Studio, but they can be billed at an hourly rate.",None identified in scorecard,No capability should be expected unless it sits in scope and resource plan,Shared,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Commercial documents issued to agreed timelines: Fulfilled,Not provided
Thailand,Operational Excellence & Hygiene,Are CEs provided based on agreed timelines from date of brief?,Commercial documents issued to agreed timelines,WPP,Fulfilled,"Status workbook: On-Going — We are on track; however, we often have Ad Hoc briefs, which is why there are times when we need to work simultaneously with the PO process.",None identified in scorecard,Timely POs and Scope Closing,Shared,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled,Not provided
Thailand,Operational Excellence & Hygiene,"Are legal, rights, talent and versioning cascades followed?","Legal, rights, talent and versioning requirements cascaded and followed",WPP,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Operational Excellence & Hygiene,Does the Studio collaborate with Brand Stakeholders in Content Planning?,Brand stakeholders involved in content planning,WPP,Fulfilled,"Status workbook: On-Going — At present, we have established connections with all brands and are collaborating closely with the brand manager of each one.",None identified in scorecard,Named brand contacts who actively participate in planning,Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Operational Excellence & Hygiene,Are briefs challenged and additional needed information/materials requested in a timely manner?,Complete briefs with sufficient lead time and timely challenge,WPP,Fulfilled,"Status workbook: On-Going — Following our studio showcase, TH has gained more strategic briefs that encompass not only asset development but also a blend of various elements.",None identified in scorecard,"Briefs arrive complete, early enough, and through one agreed entry route","Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Operational Excellence & Hygiene,Does the Studio Lead meet with the Nestlé Studio Manager/Owner on a monthly and/or quarterly basis?,Regular leadership and brand governance cadence,WPP,Not fulfilled,"Status workbook: On-Going — For ongoing projects or long-term campaigns, the team should conduct regular performance updates and create an optimization plan.",Regular leadership and brand governance cadence,"Weekly working sessions, monthly ops, quarterly strategic reviews are active",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
Thailand,Operational Excellence & Hygiene,Are Brand Governance meetings in place with the Content Studio?,Regular leadership and brand governance cadence,WPP,Fulfilled,"Status workbook: On-Going — For ongoing projects or long-term campaigns, the team should conduct regular performance updates and create an optimization plan.",None identified in scorecard,"Weekly working sessions, monthly ops, quarterly strategic reviews are active",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
Thailand,Operational Excellence & Hygiene,Is a shared workflow tool used consistently?,Consistent shared workflow and approval process,WPP,Not fulfilled,"Status workbook: On-Going — There is a need for improvement, but this occurs because we lack a dedicated team and have to rely on ad hoc briefs. Therefore, we must manage our workflow according to the situation at hand.",Consistent shared workflow and approval process,"Workflow is clear, disciplined, and supported by tools",Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Open,Not provided
Thailand,Operational Excellence & Hygiene,Does the Content Studio use BrandShare?,Consistent BrandShare adoption,WPP,Not fulfilled,Status workbook: Not Started — Thailand team will be onboarded on BrandShare,Consistent BrandShare adoption,BrandShare or equivalent is used as source of truth,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Thailand,Strategic Thinking,Is Strategy a dedicated capability in the Content Studio inherent in campaign planning?,Dedicated content strategy capability,WPP,Fulfilled,Status workbook: On-Going — Currently TH dont have dedicated content strategy but utilise strategic planner team to support this area,None identified in scorecard,Dedicated content strategy capability embedded in the studio,WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
Thailand,Strategic Thinking,Is there an analyst or insight function within the Content Studio?,Embedded analyst or insight capability,WPP,Fulfilled,"Status workbook: On-Going — TH has the opportunity to grow and leverage more real-time data; however, currently, TH only utilizes this data as part of its strategy and has not yet integrated it across the entire team.",None identified in scorecard,Analyst or insight role embedded in planning and optimization,WPP with Nestlé support on data access,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Thailand,Strategic Thinking,"Is there one shared dashboard to measure asset quantity, creative quality, speed and effectiveness?",Shared operational and effectiveness dashboard,WPP,Not fulfilled,"Status workbook: Not Started — The team hasn't started yet, but if you have any best practice formats to share, please do!",Shared operational and effectiveness dashboard,"One shared dashboard for output, speed, quality, and effectiveness",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Thailand,Strategic Thinking,Is one clear Strategy embedded in Content Planning?,Campaign strategy embedded in content planning,WPP,Fulfilled,Status workbook: On-Going — Currently TH dont have dedicated content strategy but utilise strategic planner team to support this area,None identified in scorecard,Dedicated content strategy capability embedded in the studio,WPP,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Complete briefs with sufficient lead time and timely challenge: Fulfilled,Not provided
Thailand,Production Excellence,Are brand learnings and campaign insights included in Strategy and Content Planning?,"Prior learnings applied to briefs, planning and optimization",WPP,Fulfilled,"Status workbook: Not Started — It depends on the client's request or the regular report, rather than optimizing in real time.",None identified in scorecard,"Pre, in, and post campaign learning cycle exists",Shared,"Source dependency: It depends on the client's request or the regular report, rather than optimizing in real time. · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Shared operational and effectiveness dashboard: Open; Embedded analyst or insight capability: Fulfilled",Not provided
Thailand,Production Excellence,Is creative work built on and reviewed based on brand fundamendals and campaign masters?,Brand fundamentals and campaign masters embedded in creative work,WPP,Fulfilled,Status workbook: On-Going — Using licenses provided by Nestle,None identified in scorecard,Creative quality checks and operational quality controls are embedded,WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Production Excellence,Does the Content Studio use Nestlé-provided licenses in asset production?,Access to and use of the Nestlé tool stack,WPP,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Production Excellence,"Do all boosted assets go through CX, with only 100% scored assets turned over?",CreativeX access and compliant use,WPP,Fulfilled,Status workbook: On-Going — Using licenses provided by Nestle,None identified in scorecard,Creative quality checks and operational quality controls are embedded,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Thailand,Production Excellence,"Does the Studio use Talkwalker or any WPP tool to gather audience, search, social, CRM, performance or trends?",Talkwalker or equivalent audience and trend intelligence,WPP,Fulfilled,"Status workbook: On-Going — Ongoing Utilization of Discovery, Planning, and Reporting Stages",None identified in scorecard,Trend tools actively support planning and response,Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Thailand,Production Excellence,Are final assets uploaded to ContentHub and tagged correctly on a regular basis?,"ContentHub onboarding, upload and tagging discipline",WPP,Fulfilled,"Status workbook: On-Going — For internal processes, we will provide updates biweekly.",None identified in scorecard,Content Hub or equivalent is actively used,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Thailand,Production Excellence,"Are AI Tools like WPP Open used to imrpve workflow, analysis and planning; Nestlé-compliant AI tools (Firefly) are used for adaptation and craft?",Compliant AI access and practical workflow use,WPP,Fulfilled,"Status workbook: On-Going — Currently utilized for strategic development and content brainstorming, yet fully integrated into the creative production process.",None identified in scorecard,"AI is used in practical ways that improve speed, insight, adaptation, or workflow",Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Thailand,Production Excellence,Does the Studio utilize Nestlé licenses for Adobe Creative Cloud?,Adobe Creative Cloud access and production use,WPP,Fulfilled,Status workbook: On-Going — Not fully integrated into the production stage.,None identified in scorecard,Localization technology supports efficiency and consistency,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled; Dedicated internal or external production capability: Open,Not provided
Thailand,Production Excellence,Is content planned for multiplicity?,Multiplicity embedded in briefing and content planning,WPP,Fulfilled,"Status workbook: On-Going — We have recently begun developing content for Multilicity, ensuring that it is tailored to the platform's needs. Internally, we will conduct training on the Multiplicity playbook and aim to establish a consistent workflow or standard operating procedures across all teams. If you have any insights, formats, work processes, or training materials, please feel free to share!",None identified in scorecard,Content is designed for re expression from the start,WPP,"Source dependency: Not provided · Rule-based prerequisites: Complete briefs with sufficient lead time and timely challenge: Fulfilled; Media, CRM and performance collaboration embedded in planning: Fulfilled",Not provided
Thailand,Category Expertise,"Are media, CRM and performance insights embeded into content planning, timelines and content optimization?","Media, CRM and performance collaboration embedded in planning",WPP,Fulfilled,"Status workbook: Not Started — Collaboration has been limited in our work, and our current approach involves working separately rather than engaging in comprehensive planning and development together.",None identified in scorecard,Media and content teams are connected in planning and review,Shared,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled; Regular leadership and brand governance cadence: Open,Not provided
Thailand,Category Expertise,Are incorrect briefs redirected to NBS or other content partners?,Correct brief routing and redirection,WPP,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Open; Consistent shared workflow and approval process: Open,Not provided
Thailand,Category Expertise,Does the Studio work with NBS?,Defined collaboration with AOR and NBS,WPP,Not fulfilled,Not provided,Defined collaboration with AOR and NBS,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Open,Not provided
Thailand,Category Expertise,Does the Studio work with AOR?,Defined collaboration with AOR and NBS,WPP,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Open,Not provided
Thailand,Category Expertise,Is brand knowledge updated based on industry and brand movements?,"Current brand, audience and category knowledge",WPP,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled,Not provided
Thailand,Category Expertise,Does the studio have a dedicated external or inhouse production or capability?,Dedicated internal or external production capability,WPP,Not fulfilled,"Status workbook: On-Going — Currently, every brand must manage overall quality; however, we need to get ready for the Category Studio, where clients anticipate a higher level of production expertise.",Dedicated internal or external production capability,"Production model is intentional, scalable, and quality controlled",WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Commercial documents issued to agreed timelines: Fulfilled; Dedicated WPP production leadership: Open,Not provided
Thailand,Category Expertise,Does the Studio utilize brand audience and segmentation in Content Planning?,Audience and segmentation applied to content planning,WPP,Fulfilled,Status workbook: On-Going,None identified in scorecard,Audience and segmentation shape planning decisions,Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Thailand,Category Expertise,Does the Studio utilize community and social signals used in Content Planning?,Community and social signals applied to content planning,WPP,Fulfilled,Status workbook: On-Going,None identified in scorecard,Trend and community signals actively shape ideas and content actions,Shared,Source dependency: Not provided · Rule-based prerequisites: Embedded analyst or insight capability: Fulfilled; Talkwalker or equivalent audience and trend intelligence: Fulfilled,Not provided
Japan,Operational Excellence & Hygiene,Is there a dedicated Nestlé Studio Owner/Manager?,Dedicated Nestlé studio owner or manager,Nestlé,Fulfilled,"Status workbook: Done — Nestlé appointed Kurita-san as the client-side Content Studio Lead in May, providing more senior leadership above Jindo-san. Since then, strategic alignment, communication with the Business Groups, and collaboration with senior stakeholders have significantly improved. (7/27)",None identified in scorecard,"Dedicated Nestlé studio owner with authority across planning, approvals, and operations",Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Operational Excellence & Hygiene,Is there a Senior Nestlé Sponsor?,Active senior Nestlé sponsorship,Nestlé,Fulfilled,"Status workbook: Done — As CMO, Jiroh-san oversees the CS team and holds regular catch-up meetings with us. Business leaders such as Olivier and Shimakawa-san also participate in these quarterly catch-up meetings. Akira will check with the team regarding a new leader following Shimakawa-san's promotion (7/27)",None identified in scorecard,Senior Nestlé sponsor actively supports the studio as a strategic content model,Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Operational Excellence & Hygiene,Are KPIs aligned and cascaded and agreed on?,Aligned and cascaded KPIs,Nestlé,Not fulfilled,"Status workbook: On-Going — 1. We’ve shared the brief template with the client several times, but they aren’t used to it yet, so they haven’t been using it much. 2. So yesterday, we shared a simplified version of the brief template with the client and held a workshop to fill it out together (for KitKat Icon). The goal is first to get the client familiar with the briefing process using the simplified version, and then have them start using the full package by the end of the year. (8/6)",Aligned and cascaded KPIs,KPIs should be defined before work starts and tracked consistently,"Nestlé sets business priorities, WPP translates into content metrics",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Operational Excellence & Hygiene,"Is scope provided on an annual basis (qty, asset type)?",Clear annual scope by quantity and asset type,Nestlé,Fulfilled,"Status workbook: On-Going — 1. We will hold a meeting with Finance on Friday to analyze the capabilities and time we have allocated to past scopes. Based on the results of this analysis, we will gain a deeper understanding of what capabilities and FTE %s are required for each project type. 2. Although the client has shared the annual marketing plan, the information is not provided in sufficient detail to understand which specific scopes are expected to be ordered to CS. Since we cannot estimate the annual scope or create a forecast, we are unable to retain the necessary team and maintain the required capabilities and bandwidth. (8/6)",None identified in scorecard,"Scope must be explicit, stable, and capability led","Shared, Nestlé signs off",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Operational Excellence & Hygiene,Are POs are issued based on agreed timelines?,Commercial documents issued to agreed timelines,Nestlé,Fulfilled,"Status workbook: On-Going — Because RFPs are issued frequently, the team isn't able to build the experience, and they have to allocate their limited bandwidth to preparing for pitches, leaving them exhausted. (8/6)",None identified in scorecard,Timely POs and Scope Closing,Shared,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled,Not provided
Japan,Operational Excellence & Hygiene,Are asset and talent usage rights cascaded to the Content Studio?,"Legal, rights, talent and versioning requirements cascaded and followed",Nestlé,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Operational Excellence & Hygiene,Are Brand Stakeholders involved in Content Planning?,Brand stakeholders involved in content planning,Nestlé,Fulfilled,"Status workbook: On-Going — For KitKat, we have established a foundation with the client, as we serve as the Creative Agency. For Nescafé, building stronger relationships with the Brand Managers remains a greater challenge. - Espresso-based: Muraoka, Tokiwa (Relationships aren’t very robust due to limited scope) - KOTONE Yoshinaga, Kuriyama (Won the RFP; currently building relationships) (8/6)",None identified in scorecard,"Brand stakeholders are active planning partners, not only approvers",Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Operational Excellence & Hygiene,"Do briefs provide enough lead time to ideate and produce, and are complete (key message, asset bank, target audience)?",Complete briefs with sufficient lead time and timely challenge,Nestlé,Not fulfilled,"Status workbook: On-Going — 1. Current briefs are information decks and that too not complete. Information gets trickled down. That said, Rahul has drafted a template for the briefing document, which will include KPIs and metrics. For a KitKat project, we conducted an exercise in which the client completed the briefing template, followed by a walkthrough with the Content Studio team to review the brief together and confirm that all the necessary information had been included. 2. Nestle to share their latest topline brief that’s for master campaigns. Once we have visibility we will fine tune the CS briefs for Large, mid and small types of campaigns. Also note since BBNW there is a plan for a unified brief template and annual planning to be rolled out. (8/6)",Complete briefs with sufficient lead time and timely challenge,Briefs should come through one route and be complete enough for strategic input,"Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Operational Excellence & Hygiene,Does the Nestlé Studio Manager/Owner meet with the Studio Lead on a monthly and/or quarterly basis?,Regular leadership and brand governance cadence,Nestlé,Fulfilled,"Status workbook: On-Going — Building a governance process to probe metrics across - - Client health - Studio operations - Creative performance - Commercial performance - Team health So we can then start to look deeper into - - On-time delivery and approval cycles - Rework rate - Utilization and margin - Cost per asset or deliverable - Content velocity - Reach, completion rate, saves, shares, CTR or other objective-specific KPIs - Organic versus paid contribution - Performance by format and platform - Client satisfaction and scope growth - Team workload and attrition risk (8/6)",None identified in scorecard,"Weekly working sessions, monthly ops, and quarterly strategic reviews should be live",Shared,"Source dependency: Building a governance process to probe metrics across - - Client health - Studio operations - Creative performance - Commercial performance - Team health So we can then start to look deeper into - - On-time delivery and approval cycles - Rework rate - Utilization and margin - Cost per asset or deliverable - Content velocity - Reach, completion rate, saves, shares, CTR or other objective-specific KPIs - Organic versus paid contribution - Performance by format and platform - Client satisfaction and scope growth - Team workload and attrition risk (8/6) Japan needs a more active governance model that looks beyond status and into decisions, learning, and capability build · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled",Not provided
Japan,Operational Excellence & Hygiene,Are Brand Governance meetings in place with the Content Studio?,Regular leadership and brand governance cadence,Nestlé,Fulfilled,"Status workbook: On-Going — Building a governance process to probe metrics across - - Client health - Studio operations - Creative performance - Commercial performance - Team health So we can then start to look deeper into - - On-time delivery and approval cycles - Rework rate - Utilization and margin - Cost per asset or deliverable - Content velocity - Reach, completion rate, saves, shares, CTR or other objective-specific KPIs - Organic versus paid contribution - Performance by format and platform - Client satisfaction and scope growth - Team workload and attrition risk (8/6)",None identified in scorecard,"Weekly working sessions, monthly ops, and quarterly strategic reviews should be live",Shared,"Source dependency: Building a governance process to probe metrics across - - Client health - Studio operations - Creative performance - Commercial performance - Team health So we can then start to look deeper into - - On-time delivery and approval cycles - Rework rate - Utilization and margin - Cost per asset or deliverable - Content velocity - Reach, completion rate, saves, shares, CTR or other objective-specific KPIs - Organic versus paid contribution - Performance by format and platform - Client satisfaction and scope growth - Team workload and attrition risk (8/6) Japan needs a more active governance model that looks beyond status and into decisions, learning, and capability build · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled",Not provided
Japan,Operational Excellence & Hygiene,Is a shared workflow tool used consistently?,Consistent shared workflow and approval process,Nestlé,Not fulfilled,"Status workbook: On-Going — Rahul has compiled the decks regarding the operation process, but we haven't present them to the client yet. We plan to present them along with the Manila discussion later this month. (8/6)",Consistent shared workflow and approval process,"Workflow should be structured, disciplined, and supported by tools",Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Fulfilled,Not provided
Japan,Operational Excellence & Hygiene,Does the Nestlé utilize BrandShare?,Consistent BrandShare adoption,Nestlé,Not fulfilled,Status workbook: Not Applicable — We are not using tools to track process/progress now. (8/6),Consistent BrandShare adoption,BrandShare Implemented,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Open,Not provided
Japan,Strategic Thinking,Are fire briefs cascaded to the Content Studio?,Complete briefs with sufficient lead time and timely challenge,Nestlé,Fulfilled,"Status workbook: On-Going — 1. Current briefs are information decks and that too not complete. Information gets trickled down. That said, Rahul has drafted a template for the briefing document, which will include KPIs and metrics. For a KitKat project, we conducted an exercise in which the client completed the briefing template, followed by a walkthrough with the Content Studio team to review the brief together and confirm that all the necessary information had been included. 2. Nestle to share their latest topline brief that’s for master campaigns. Once we have visibility we will fine tune the CS briefs for Large, mid and small types of campaigns. Also note since BBNW there is a plan for a unified brief template and annual planning to be rolled out. (8/6)",None identified in scorecard,Briefs should come through one route and be complete enough for strategic input,"Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Strategic Thinking,"Is there one shared dashboard to measure asset quantity, creative quality, speed and effectiveness?",Shared operational and effectiveness dashboard,Nestlé,Not fulfilled,Status workbook: On-Going — We are aware that each agency/team creates their own report and our gut says all this just stays isolated and there isnt one organised dashboard to look at across funnel. We do get time to time metrics when asked. (8/6),Shared operational and effectiveness dashboard,"One dashboard should track output, speed, quality, and effectiveness",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Open; Embedded analyst or insight capability: Fulfilled,Not provided
Japan,Strategic Thinking,"Are Campaign Strategies cascaded to the Studio, or is the Studio given the opportunity to Strategize content planning?",Campaign strategy embedded in content planning,Nestlé,Fulfilled,"Status workbook: On-Going — 1. With Kurita-san on board, the client has come to understand the need to deepen our understanding of the brand. As part of the NBA KOTONE project, they have organized immersive sessions and other activities to fill in the gaps in our understanding of the brand and product. 2. For now, we’re focusing on delivering the SoW we’ve been awarded. While the immersive sessions are beneficial, they place a burden on both the agency and the client, so we won’t proceed haphazardly; instead, we’ll move forward in stages as needed through initiatives like KOTONE and “Make Your World.” 3. Could you tell us what you’ve done in other markets? Even though we’re not the brand’s incumbent agency, aren’t there markets where you have a CS business? (8/6)",None identified in scorecard,Strategy should actively shape content planning,WPP,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Complete briefs with sufficient lead time and timely challenge: Open,Not provided
Japan,Production Excellence,Are previous learnings and insights shared during briefs?,"Prior learnings applied to briefs, planning and optimization",Nestlé,Not fulfilled,"Status workbook: On-Going — 1. For KitKat, as many projects fall within the scope of CS, we receive post-campaign reports in most cases, which enables us to identify learnings and optimize future activities more effectively. 2. For Nescafé, CS does not provide amplification and adaptation support (via NBS) for every project, and there are also many projects where CS is not involved. While we do receive post-campaign reports for some campaigns, this process has not yet been fully standardized. Therefore, we would like to establish guidelines and a consistent approach going forward. (8/6)","Prior learnings applied to briefs, planning and optimization","Pre, in, and post campaign learning should exist",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Open; Shared operational and effectiveness dashboard: Open; Embedded analyst or insight capability: Fulfilled,Not provided
Japan,Production Excellence,Are brand creative mandatories and campaign masters cascaded to the Content Studio?,Brand fundamentals and campaign masters embedded in creative work,Nestlé,Fulfilled,Status workbook: For Updating — CreativeX and others,None identified in scorecard,Creative and operational quality checks should be embedded,WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Production Excellence,Has the Studio been provided access to the Nestlé toolstack?,Access to and use of the Nestlé tool stack,Nestlé,Not fulfilled,Not provided,Access to and use of the Nestlé tool stack,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
